,Month,food_conflicts,result
169,Spring,"frozen yogurt, skim milk, pasteurized, water",12 illness 0 Hospitalizations 0 Deaths 
170,Spring,"salad bar items, lettuce, tomatoes, red round",8 illness 4 Hospitalizations 0 Deaths 
171,Spring,"lettuce, tomatoes, tortilla",20 illness 0 Hospitalizations 0 Deaths 
172,Spring,"chocolate milk, pasteurized, milk, 2% milk pasteurized",64 illness 0 Hospitalizations 0 Deaths 
173,Spring,"quesadillas, chicken, cheese, tortilla, cilantro",128 illness 4 Hospitalizations 0 Deaths 
174,Spring,"ground beef, hamburger, chips, lemonade",8 illness 0 Hospitalizations 0 Deaths 
175,Summer,"shrimp, raw, pork, eggs, egg",4 illness 0 Hospitalizations 0 Deaths 
176,Spring,"shrimp dishes, cheese, shrimp",4 illness 0 Hospitalizations 0 Deaths 
177,Summer,"tuna, raw, fish",4 illness 0 Hospitalizations 0 Deaths 
178,Summer,"fruit platter, blueberries, cantaloupe, honeydew melon, strawberries",42 illness 0 Hospitalizations 0 Deaths 
179,Summer,"scallops, fried, shrimp",4 illness 4 Hospitalizations 0 Deaths 
180,Summer&Autumn,"egg, in, muffin, style sandwich",11 illness 0 Hospitalizations 0 Deaths 
181,Summer,"chicken, fried, dressing, ham, turkey, bread, crumbs",38 illness 6 Hospitalizations 0 Deaths 
182,Summer,"egg rolls, cabbage, carrots, pork, mayonnaise",8 illness 0 Hospitalizations 0 Deaths 
183,Summer,"fettuccine alfredo, chicken, onion, shrimp, squash, yellow, zucchini",60 illness 2 Hospitalizations 0 Deaths 
184,Spring,"blueberries, danish, pancakes, chicken, carrots, cookies, paella, potato, whipped, lamb, peppers, coconut rice pudding, grape tomatoes",62 illness 0 Hospitalizations 0 Deaths 
185,Autumn,"deli meat, sliced roast beef, beef, ice",6 illness 0 Hospitalizations 0 Deaths 
186,Summer,"seafood, fish, tilapia, lobster, shrimp",4 illness 0 Hospitalizations 0 Deaths 
187,Autumn,"fish, tuna, spicy roll, yellowfin tuna",4 illness 0 Hospitalizations 0 Deaths 
188,Autumn,"fish, red grouper, grouper",4 illness 0 Hospitalizations 0 Deaths 
189,Autumn&Spring,"milk, whole milk unpasteurized, unpasteurized",8 illness 0 Hospitalizations 0 Deaths 
190,Autumn,"macaroni, cheese, mashed potato, gravy, turkey",40 illness 0 Hospitalizations 0 Deaths 
191,Autumn,"refried beans, beans, rice",12 illness 0 Hospitalizations 0 Deaths 
192,Winter,"pork, carnitas, barbacoa, beef",10 illness 0 Hospitalizations 0 Deaths 
193,Winter,"ice, green beans, chicken, marsala, mushrooms",62 illness 0 Hospitalizations 0 Deaths 
194,Autumn,"salmon, smoked, fish",6 illness 2 Hospitalizations 0 Deaths 
195,Winter,"fried rice, stir, fry",16 illness 0 Hospitalizations 0 Deaths 
196,Winter,"ginger, apple, collard greens, kale, pineapple",4 illness 0 Hospitalizations 0 Deaths 
197,Winter,"mushroom, swiss hamburger sandwich, bread, ground beef, mushrooms, swiss cheese",8 illness 0 Hospitalizations 0 Deaths 
198,Winter,"tortilla chips, salsa, enchiladas",6 illness 0 Hospitalizations 0 Deaths 
199,Winter,"french fries, spinach artichoke dip, quesadilla, chicken, cheese",14 illness 0 Hospitalizations 0 Deaths 
200,Winter,"cantaloupe, pineapple, grapes",70 illness 0 Hospitalizations 0 Deaths 
201,Summer,"taco, beef, eggs, onion",310 illness 32 Hospitalizations 0 Deaths 
202,Autumn,"lasagna, ravioli, eggs",66 illness 0 Hospitalizations 0 Deaths 
203,Winter&Summer,"mashed potato, gravy, chicken",14 illness 0 Hospitalizations 0 Deaths 
204,Winter,"water, celery, peppers, green",124 illness 4 Hospitalizations 0 Deaths 
205,Autumn,"chow mein, pork, bbq",8 illness 0 Hospitalizations 0 Deaths 
206,Autumn,"chicken, nuggets, fingers",35 illness 0 Hospitalizations 0 Deaths 
